season,date,team_1,team_2,score_1,score_2,location
2000,"Fri, Nov 5, 1999",Minnesota Timberwolves,Sacramento Kings,95,100,
2000,"Sat, Nov 6, 1999",Chicago Bulls,Atlanta Hawks,97,113,
2000,"Sat, Nov 6, 1999",New York Knicks,Cleveland Cavaliers,93,102,
2000,"Sat, Nov 6, 1999",Dallas Mavericks,Golden State Warriors,120,97,
2000,"Sat, Nov 6, 1999",Boston Celtics,Indiana Pacers,108,115,
2000,"Sat, Nov 6, 1999",Detroit Pistons,Milwaukee Bucks,111,121,
2000,"Sat, Nov 6, 1999",Sacramento Kings,Minnesota Timberwolves,101,114,
2000,"Sat, Nov 6, 1999",Los Angeles Lakers,Portland Trail Blazers,82,97,
2000,"Sat, Nov 6, 1999",Utah Jazz,Seattle SuperSonics,94,99,
2000,"Sat, Nov 6, 1999",Denver Nuggets,Vancouver Grizzlies,94,109,
2000,"Sat, Nov 6, 1999",Orlando Magic,Washington Wizards,107,104,
2000,"Sun, Nov 7, 1999",Dallas Mavericks,Los Angeles Lakers,97,105,
2000,"Sun, Nov 7, 1999",Washington Wizards,New Jersey Nets,87,112,
2000,"Sun, Nov 7, 1999",San Antonio Spurs,Phoenix Suns,74,77,
2000,"Sun, Nov 7, 1999",Charlotte Hornets,Toronto Raptors,99,109,
2000,"Mon, Nov 8, 1999",Atlanta Hawks,Denver Nuggets,100,115,
2000,"Mon, Nov 8, 1999",Orlando Magic,Houston Rockets,102,97,
2000,"Mon, Nov 8, 1999",Utah Jazz,Los Angeles Clippers,94,79,
2000,"Mon, Nov 8, 1999",Milwaukee Bucks,New York Knicks,101,111,
2000,"Mon, Nov 8, 1999",Seattle SuperSonics,Philadelphia 76ers,98,117,
2000,"Tue, Nov 9, 1999",Phoenix Suns,Chicago Bulls,103,80,
2000,"Tue, Nov 9, 1999",Los Angeles Lakers,Dallas Mavericks,123,101,
2000,"Tue, Nov 9, 1999",San Antonio Spurs,Golden State Warriors,118,89,
2000,"Tue, Nov 9, 1999",Indiana Pacers,Miami Heat,101,113,
2000,"Tue, Nov 9, 1999",Portland Trail Blazers,Utah Jazz,87,92,
2000,"Wed, Nov 10, 1999",Detroit Pistons,Boston Celtics,110,92,
2000,"Wed, Nov 10, 1999",Milwaukee Bucks,Charlotte Hornets,111,117,
2000,"Wed, Nov 10, 1999",Los Angeles Lakers,Houston Rockets,89,88,
2000,"Wed, Nov 10, 1999",San Antonio Spurs,Los Angeles Clippers,99,94,
2000,"Wed, Nov 10, 1999",Phoenix Suns,New Jersey Nets,104,89,
2000,"Wed, Nov 10, 1999",Philadelphia 76ers,Orlando Magic,105,110,
2000,"Wed, Nov 10, 1999",Atlanta Hawks,Vancouver Grizzlies,97,102,
2000,"Wed, Nov 10, 1999",Seattle SuperSonics,Washington Wizards,109,95,
2000,"Thu, Nov 11, 1999",Seattle SuperSonics,Cleveland Cavaliers,109,103,
2000,"Thu, Nov 11, 1999",Toronto Raptors,Detroit Pistons,123,106,
2000,"Thu, Nov 11, 1999",Orlando Magic,Indiana Pacers,101,116,
2000,"Thu, Nov 11, 1999",Dallas Mavericks,Miami Heat,105,128,
2000,"Thu, Nov 11, 1999",New York Knicks,Minnesota Timberwolves,90,93,
2000,"Fri, Nov 12, 1999",New York Knicks,Boston Celtics,74,80,
2000,"Fri, Nov 12, 1999",New Jersey Nets,Charlotte Hornets,92,96,
2000,"Fri, Nov 12, 1999",Portland Trail Blazers,Denver Nuggets,93,78,
2000,"Fri, Nov 12, 1999",Houston Rockets,Los Angeles Lakers,97,81,
2000,"Fri, Nov 12, 1999",Phoenix Suns,Milwaukee Bucks,92,107,
2000,"Fri, Nov 12, 1999",Chicago Bulls,Philadelphia 76ers,86,92,
2000,"Fri, Nov 12, 1999",Utah Jazz,Sacramento Kings,92,105,
2000,"Fri, Nov 12, 1999",Golden State Warriors,Vancouver Grizzlies,103,93,
2000,"Fri, Nov 12, 1999",Miami Heat,Washington Wizards,104,95,
2000,"Sat, Nov 13, 1999",Boston Celtics,Chicago Bulls,91,92,
2000,"Sat, Nov 13, 1999",Milwaukee Bucks,Cleveland Cavaliers,112,117,
2000,"Sat, Nov 13, 1999",Orlando Magic,Dallas Mavericks,117,125,
2000,"Sat, Nov 13, 1999",Seattle SuperSonics,Detroit Pistons,99,107,
2000,"Sat, Nov 13, 1999",Houston Rockets,Golden State Warriors,103,95,
2000,"Sat, Nov 13, 1999",Washington Wizards,Indiana Pacers,83,105,
2000,"Sat, Nov 13, 1999",Phoenix Suns,Minnesota Timberwolves,100,111,
2000,"Sat, Nov 13, 1999",Atlanta Hawks,Portland Trail Blazers,95,131,
2000,"Sat, Nov 13, 1999",Charlotte Hornets,San Antonio Spurs,79,95,
2000,"Sun, Nov 14, 1999",Atlanta Hawks,Los Angeles Lakers,88,93,
2000,"Sun, Nov 14, 1999",Miami Heat,New York Knicks,94,88,
2000,"Sun, Nov 14, 1999",Denver Nuggets,Sacramento Kings,116,126,
2000,"Sun, Nov 14, 1999",Philadelphia 76ers,Toronto Raptors,93,90,
2000,"Sun, Nov 14, 1999",Los Angeles Clippers,Vancouver Grizzlies,89,109,
2000,"Mon, Nov 15, 1999",Indiana Pacers,Houston Rockets,96,87,
2000,"Mon, Nov 15, 1999",Seattle SuperSonics,New Jersey Nets,100,92,
2000,"Mon, Nov 15, 1999",Los Angeles Lakers,Phoenix Suns,91,82,
2000,"Mon, Nov 15, 1999",San Antonio Spurs,Utah Jazz,85,91,
2000,"Tue, Nov 16, 1999",Charlotte Hornets,Atlanta Hawks,98,103,
2000,"Tue, Nov 16, 1999",Houston Rockets,Dallas Mavericks,95,114,
2000,"Tue, Nov 16, 1999",New York Knicks,Denver Nuggets,102,95,
2000,"Tue, Nov 16, 1999",Chicago Bulls,Golden State Warriors,79,99,
2000,"Tue, Nov 16, 1999",Portland Trail Blazers,Miami Heat,101,96,
2000,"Tue, Nov 16, 1999",Los Angeles Clippers,Milwaukee Bucks,93,101,
2000,"Tue, Nov 16, 1999",Vancouver Grizzlies,Sacramento Kings,77,81,
2000,"Tue, Nov 16, 1999",Indiana Pacers,San Antonio Spurs,87,90,
2000,"Tue, Nov 16, 1999",Detroit Pistons,Toronto Raptors,85,89,
2000,"Tue, Nov 16, 1999",Philadelphia 76ers,Washington Wizards,95,73,
2000,"Wed, Nov 17, 1999",Cleveland Cavaliers,Boston Celtics,103,114,
2000,"Wed, Nov 17, 1999",Dallas Mavericks,Charlotte Hornets,99,104,
2000,"Wed, Nov 17, 1999",New Jersey Nets,Detroit Pistons,107,109,
2000,"Wed, Nov 17, 1999",Los Angeles Clippers,Minnesota Timberwolves,89,85,
2000,"Wed, Nov 17, 1999",Portland Trail Blazers,Orlando Magic,81,79,
2000,"Wed, Nov 17, 1999",Miami Heat,Philadelphia 76ers,98,93,
2000,"Wed, Nov 17, 1999",Chicago Bulls,Phoenix Suns,81,105,
2000,"Wed, Nov 17, 1999",Golden State Warriors,Seattle SuperSonics,108,111,
2000,"Wed, Nov 17, 1999",New York Knicks,Utah Jazz,90,98,
2000,"Thu, Nov 18, 1999",Los Angeles Lakers,Denver Nuggets,82,93,
2000,"Thu, Nov 18, 1999",Sacramento Kings,Houston Rockets,128,110,
2000,"Thu, Nov 18, 1999",San Antonio Spurs,Milwaukee Bucks,88,99,
2000,"Thu, Nov 18, 1999",Seattle SuperSonics,Vancouver Grizzlies,110,108,
2000,"Thu, Nov 18, 1999",Toronto Raptors,Washington Wizards,81,92,
2000,"Fri, Nov 19, 1999",New Jersey Nets,Boston Celtics,96,109,
2000,"Fri, Nov 19, 1999",Sacramento Kings,Dallas Mavericks,103,94,
2000,"Fri, Nov 19, 1999",Cleveland Cavaliers,Detroit Pistons,90,101,
2000,"Fri, Nov 19, 1999",Atlanta Hawks,Indiana Pacers,105,99,
2000,"Fri, Nov 19, 1999",Chicago Bulls,Los Angeles Lakers,95,103,
2000,"Fri, Nov 19, 1999",Utah Jazz,Minnesota Timberwolves,84,89,
2000,"Fri, Nov 19, 1999",Charlotte Hornets,Orlando Magic,103,92,
2000,"Fri, Nov 19, 1999",Portland Trail Blazers,Philadelphia 76ers,97,91,
2000,"Fri, Nov 19, 1999",New York Knicks,Phoenix Suns,81,96,
2000,"Fri, Nov 19, 1999",Los Angeles Clippers,Toronto Raptors,100,106,
2000,"Sat, Nov 20, 1999",Orlando Magic,Atlanta Hawks,107,103,
2000,"Sat, Nov 20, 1999",Portland Trail Blazers,Charlotte Hornets,100,96,
2000,"Sat, Nov 20, 1999",Indiana Pacers,Cleveland Cavaliers,107,98,
2000,"Sat, Nov 20, 1999",Chicago Bulls,Denver Nuggets,86,95,
2000,"Sat, Nov 20, 1999",New York Knicks,Golden State Warriors,86,79,
2000,"Sat, Nov 20, 1999",Boston Celtics,Miami Heat,92,110,
2000,"Sat, Nov 20, 1999",Utah Jazz,Milwaukee Bucks,111,100,
2000,"Sat, Nov 20, 1999",Philadelphia 76ers,New Jersey Nets,100,96,
2000,"Sat, Nov 20, 1999",Dallas Mavericks,San Antonio Spurs,90,106,
2000,"Sat, Nov 20, 1999",Houston Rockets,Seattle SuperSonics,107,110,
2000,"Sat, Nov 20, 1999",Los Angeles Clippers,Washington Wizards,98,89,
2000,"Sun, Nov 21, 1999",Milwaukee Bucks,Detroit Pistons,94,113,
2000,"Sun, Nov 21, 1999",Toronto Raptors,Los Angeles Lakers,111,102,
2000,"Sun, Nov 21, 1999",Seattle SuperSonics,Phoenix Suns,86,99,
2000,"Sun, Nov 21, 1999",Houston Rockets,Sacramento Kings,105,110,
2000,"Sun, Nov 21, 1999",Minnesota Timberwolves,Vancouver Grizzlies,105,81,
2000,"Mon, Nov 22, 1999",Indiana Pacers,Boston Celtics,85,95,
2000,"Mon, Nov 22, 1999",San Antonio Spurs,Philadelphia 76ers,94,91,
2000,"Mon, Nov 22, 1999",Minnesota Timberwolves,Utah Jazz,93,108,
2000,"Tue, Nov 23, 1999",Miami Heat,Atlanta Hawks,106,113,
2000,"Tue, Nov 23, 1999",Portland Trail Blazers,Cleveland Cavaliers,100,103,
2000,"Tue, Nov 23, 1999",Dallas Mavericks,Houston Rockets,99,119,
2000,"Tue, Nov 23, 1999",New York Knicks,Los Angeles Clippers,95,100,
2000,"Tue, Nov 23, 1999",Toronto Raptors,Phoenix Suns,93,94,
2000,"Tue, Nov 23, 1999",New Jersey Nets,Sacramento Kings,92,105,
2000,"Tue, Nov 23, 1999",Vancouver Grizzlies,Washington Wizards,87,89,
2000,"Wed, Nov 24, 1999",San Antonio Spurs,Boston Celtics,121,98,
2000,"Wed, Nov 24, 1999",Vancouver Grizzlies,Charlotte Hornets,73,89,
2000,"Wed, Nov 24, 1999",Toronto Raptors,Denver Nuggets,84,109,
2000,"Wed, Nov 24, 1999",New Jersey Nets,Golden State Warriors,92,84,
2000,"Wed, Nov 24, 1999",Utah Jazz,Los Angeles Lakers,82,90,
2000,"Wed, Nov 24, 1999",Atlanta Hawks,Miami Heat,91,93,
2000,"Wed, Nov 24, 1999",Chicago Bulls,Milwaukee Bucks,95,102,
2000,"Wed, Nov 24, 1999",Portland Trail Blazers,Minnesota Timberwolves,88,81,
2000,"Wed, Nov 24, 1999",Dallas Mavericks,Orlando Magic,100,112,
2000,"Wed, Nov 24, 1999",Washington Wizards,Philadelphia 76ers,101,93,
2000,"Thu, Nov 25, 1999",Detroit Pistons,Indiana Pacers,107,99,
2000,"Fri, Nov 26, 1999",Milwaukee Bucks,Boston Celtics,114,112,
2000,"Fri, Nov 26, 1999",Washington Wizards,Charlotte Hornets,85,118,
2000,"Fri, Nov 26, 1999",Minnesota Timberwolves,Denver Nuggets,105,114,
2000,"Fri, Nov 26, 1999",Atlanta Hawks,Detroit Pistons,91,93,
2000,"Fri, Nov 26, 1999",Vancouver Grizzlies,Indiana Pacers,86,105,
2000,"Fri, Nov 26, 1999",New Jersey Nets,Los Angeles Lakers,80,103,
2000,"Fri, Nov 26, 1999",Cleveland Cavaliers,Philadelphia 76ers,83,106,
2000,"Fri, Nov 26, 1999",Houston Rockets,Portland Trail Blazers,88,91,
2000,"Fri, Nov 26, 1999",Golden State Warriors,Sacramento Kings,95,124,
2000,"Fri, Nov 26, 1999",Chicago Bulls,San Antonio Spurs,78,101,
2000,"Fri, Nov 26, 1999",Los Angeles Clippers,Seattle SuperSonics,93,98,
2000,"Fri, Nov 26, 1999",Toronto Raptors,Utah Jazz,100,87,
2000,"Sat, Nov 27, 1999",Boston Celtics,Atlanta Hawks,84,94,
2000,"Sat, Nov 27, 1999",Charlotte Hornets,Cleveland Cavaliers,89,106,
2000,"Sat, Nov 27, 1999",Chicago Bulls,Dallas Mavericks,83,95,
2000,"Sat, Nov 27, 1999",Toronto Raptors,Golden State Warriors,106,88,
2000,"Sat, Nov 27, 1999",Portland Trail Blazers,Los Angeles Clippers,88,71,
2000,"Sat, Nov 27, 1999",Washington Wizards,Miami Heat,86,89,
2000,"Sat, Nov 27, 1999",Philadelphia 76ers,Milwaukee Bucks,82,79,
2000,"Sat, Nov 27, 1999",Vancouver Grizzlies,Minnesota Timberwolves,82,113,
2000,"Sat, Nov 27, 1999",Orlando Magic,New York Knicks,96,99,
2000,"Sat, Nov 27, 1999",New Jersey Nets,Phoenix Suns,90,129,
2000,"Sat, Nov 27, 1999",Denver Nuggets,San Antonio Spurs,87,106,
2000,"Sun, Nov 28, 1999",Orlando Magic,Detroit Pistons,108,99,
2000,"Sun, Nov 28, 1999",Indiana Pacers,Seattle SuperSonics,91,102,
2000,"Mon, Nov 29, 1999",Sacramento Kings,Miami Heat,88,98,
2000,"Mon, Nov 29, 1999",Dallas Mavericks,New York Knicks,82,107,
2000,"Mon, Nov 29, 1999",Indiana Pacers,Portland Trail Blazers,93,91,
2000,"Mon, Nov 29, 1999",Golden State Warriors,Utah Jazz,99,115,
2000,"Mon, Nov 29, 1999",Houston Rockets,Vancouver Grizzlies,118,110,
2000,"Tue, Nov 30, 1999",Dallas Mavericks,Cleveland Cavaliers,99,106,
2000,"Tue, Nov 30, 1999",Phoenix Suns,Los Angeles Clippers,94,80,
2000,"Tue, Nov 30, 1999",Denver Nuggets,Minnesota Timberwolves,92,109,
2000,"Tue, Nov 30, 1999",Washington Wizards,New Jersey Nets,85,78,
2000,"Tue, Nov 30, 1999",Sacramento Kings,Orlando Magic,111,102,
2000,"Tue, Nov 30, 1999",New York Knicks,Philadelphia 76ers,70,74,
2000,"Tue, Nov 30, 1999",Detroit Pistons,San Antonio Spurs,87,106,
2000,"Tue, Nov 30, 1999",Los Angeles Lakers,Seattle SuperSonics,101,77,
2000,"Tue, Nov 30, 1999",Atlanta Hawks,Toronto Raptors,107,89,
2002,"Tue, Oct 30, 2001",Boston Celtics,Cleveland Cavaliers,108,89,
2002,"Tue, Oct 30, 2001",Indiana Pacers,New Jersey Nets,97,103,
2002,"Tue, Oct 30, 2001",Washington Wizards,New York Knicks,91,93,
2002,"Tue, Oct 30, 2001",Toronto Raptors,Orlando Magic,85,114,
2002,"Tue, Oct 30, 2001",Philadelphia 76ers,Minnesota Timberwolves,74,83,
2002,"Tue, Oct 30, 2001",Detroit Pistons,Dallas Mavericks,87,94,
2002,"Tue, Oct 30, 2001",Atlanta Hawks,Houston Rockets,84,89,
2002,"Tue, Oct 30, 2001",Los Angeles Clippers,San Antonio Spurs,98,109,
2002,"Tue, Oct 30, 2001",Denver Nuggets,Phoenix Suns,99,96,
2002,"Tue, Oct 30, 2001",Milwaukee Bucks,Utah Jazz,119,112,
2002,"Tue, Oct 30, 2001",Seattle SuperSonics,Sacramento Kings,95,101,
2002,"Tue, Oct 30, 2001",Portland Trail Blazers,Los Angeles Lakers,87,98,
2002,"Wed, Oct 31, 2001",New Jersey Nets,Boston Celtics,95,92,
2002,"Wed, Oct 31, 2001",Cleveland Cavaliers,Charlotte Hornets,94,100,
2002,"Wed, Oct 31, 2001",Toronto Raptors,Miami Heat,92,97,
2002,"Wed, Oct 31, 2001",Indiana Pacers,Chicago Bulls,98,73,
2002,"Wed, Oct 31, 2001",Golden State Warriors,Portland Trail Blazers,87,92,
2003,"Tue, Oct 29, 2002",Philadelphia 76ers,Orlando Magic,88,95,
2003,"Tue, Oct 29, 2002",Cleveland Cavaliers,Sacramento Kings,67,94,
2003,"Tue, Oct 29, 2002",San Antonio Spurs,Los Angeles Lakers,87,82,
2003,"Wed, Oct 30, 2002",Chicago Bulls,Boston Celtics,99,96,
2003,"Wed, Oct 30, 2002",Washington Wizards,Toronto Raptors,68,74,
2003,"Wed, Oct 30, 2002",Milwaukee Bucks,Philadelphia 76ers,93,95,
2003,"Wed, Oct 30, 2002",Houston Rockets,Indiana Pacers,82,91,
2003,"Wed, Oct 30, 2002",Atlanta Hawks,New Jersey Nets,94,105,
2003,"Wed, Oct 30, 2002",Orlando Magic,Miami Heat,100,86,
2003,"Wed, Oct 30, 2002",Denver Nuggets,Minnesota Timberwolves,77,83,
2003,"Wed, Oct 30, 2002",Dallas Mavericks,Memphis Grizzlies,119,108,
2003,"Wed, Oct 30, 2002",New York Knicks,Detroit Pistons,77,86,
2003,"Wed, Oct 30, 2002",Utah Jazz,New Orleans Hornets,75,100,
2003,"Wed, Oct 30, 2002",Los Angeles Lakers,Portland Trail Blazers,90,102,
2003,"Wed, Oct 30, 2002",Phoenix Suns,Seattle SuperSonics,73,86,
2003,"Wed, Oct 30, 2002",Cleveland Cavaliers,Los Angeles Clippers,98,96,
2003,"Wed, Oct 30, 2002",San Antonio Spurs,Golden State Warriors,98,106,
2003,"Thu, Oct 31, 2002",Utah Jazz,Atlanta Hawks,98,105,
2003,"Thu, Oct 31, 2002",Boston Celtics,Washington Wizards,69,114,
2003,"Thu, Oct 31, 2002",Portland Trail Blazers,Sacramento Kings,72,100,
2005,"Tue, Nov 2, 2004",Houston Rockets,Detroit Pistons,79,87,
2005,"Tue, Nov 2, 2004",Sacramento Kings,Dallas Mavericks,98,107,
2005,"Tue, Nov 2, 2004",Denver Nuggets,Los Angeles Lakers,78,89,
2005,"Wed, Nov 3, 2004",Indiana Pacers,Cleveland Cavaliers,109,104,
2005,"Wed, Nov 3, 2004",Milwaukee Bucks,Orlando Magic,92,93,
2005,"Wed, Nov 3, 2004",Houston Rockets,Toronto Raptors,88,95,
2005,"Wed, Nov 3, 2004",Philadelphia 76ers,Boston Celtics,98,95,
2005,"Wed, Nov 3, 2004",Washington Wizards,Memphis Grizzlies,103,91,
2005,"Wed, Nov 3, 2004",New York Knicks,Minnesota Timberwolves,93,99,
2005,"Wed, Nov 3, 2004",Miami Heat,New Jersey Nets,100,77,
2005,"Wed, Nov 3, 2004",Dallas Mavericks,New Orleans Hornets,106,91,
2005,"Wed, Nov 3, 2004",Sacramento Kings,San Antonio Spurs,85,101,
2005,"Wed, Nov 3, 2004",Atlanta Hawks,Phoenix Suns,82,112,
2005,"Wed, Nov 3, 2004",Portland Trail Blazers,Golden State Warriors,78,75,
2005,"Wed, Nov 3, 2004",Seattle SuperSonics,Los Angeles Clippers,84,114,
2005,"Wed, Nov 3, 2004",Los Angeles Lakers,Utah Jazz,78,104,
2005,"Thu, Nov 4, 2004",Washington Wizards,Charlotte Bobcats,103,96,
2005,"Thu, Nov 4, 2004",Cleveland Cavaliers,Miami Heat,86,92,
2005,"Thu, Nov 4, 2004",Minnesota Timberwolves,Denver Nuggets,92,94,
2005,"Fri, Nov 5, 2004",Phoenix Suns,Philadelphia 76ers,108,98,
2005,"Fri, Nov 5, 2004",Detroit Pistons,Toronto Raptors,89,101,
2005,"Fri, Nov 5, 2004",Indiana Pacers,Boston Celtics,100,94,
2005,"Fri, Nov 5, 2004",Houston Rockets,Memphis Grizzlies,89,81,
2005,"Fri, Nov 5, 2004",Orlando Magic,New Orleans Hornets,90,89,
2005,"Fri, Nov 5, 2004",New Jersey Nets,Chicago Bulls,111,106,
2005,"Fri, Nov 5, 2004",Los Angeles Clippers,Portland Trail Blazers,81,94,
2005,"Fri, Nov 5, 2004",Utah Jazz,Golden State Warriors,102,80,
2005,"Fri, Nov 5, 2004",San Antonio Spurs,Los Angeles Lakers,105,96,
2005,"Fri, Nov 5, 2004",Atlanta Hawks,Seattle SuperSonics,85,106,
2005,"Sat, Nov 6, 2004",Orlando Magic,Charlotte Bobcats,100,111,
2005,"Sat, Nov 6, 2004",Miami Heat,Washington Wizards,118,106,
2005,"Sat, Nov 6, 2004",Philadelphia 76ers,Detroit Pistons,91,99,
2005,"Sat, Nov 6, 2004",Boston Celtics,New York Knicks,107,73,
2005,"Sat, Nov 6, 2004",Chicago Bulls,Indiana Pacers,90,100,
2005,"Sat, Nov 6, 2004",New Orleans Hornets,Minnesota Timberwolves,92,99,
2005,"Sat, Nov 6, 2004",Phoenix Suns,New Jersey Nets,112,80,
2005,"Sat, Nov 6, 2004",Memphis Grizzlies,Dallas Mavericks,88,112,
2005,"Sat, Nov 6, 2004",Sacramento Kings,Houston Rockets,101,104,
2005,"Sat, Nov 6, 2004",Cleveland Cavaliers,Milwaukee Bucks,88,102,
2005,"Sat, Nov 6, 2004",Utah Jazz,Denver Nuggets,106,82,
2005,"Sat, Nov 6, 2004",Los Angeles Clippers,Golden State Warriors,94,86,
2005,"Sun, Nov 7, 2004",Portland Trail Blazers,Toronto Raptors,97,101,
2005,"Sun, Nov 7, 2004",San Antonio Spurs,Seattle SuperSonics,94,113,
2005,"Sun, Nov 7, 2004",Atlanta Hawks,Los Angeles Lakers,90,106,
2005,"Mon, Nov 8, 2004",Golden State Warriors,Dallas Mavericks,98,101,
2005,"Mon, Nov 8, 2004",Denver Nuggets,Utah Jazz,91,102,
2005,"Mon, Nov 8, 2004",Detroit Pistons,Los Angeles Clippers,99,96,
2005,"Tue, Nov 9, 2004",Dallas Mavericks,Orlando Magic,84,94,
2005,"Tue, Nov 9, 2004",Cleveland Cavaliers,Atlanta Hawks,93,79,
2005,"Tue, Nov 9, 2004",Washington Wizards,Miami Heat,93,103,
2005,"Tue, Nov 9, 2004",Portland Trail Blazers,New Jersey Nets,60,64,
2005,"Tue, Nov 9, 2004",Philadelphia 76ers,New York Knicks,88,96,
2005,"Tue, Nov 9, 2004",Indiana Pacers,Minnesota Timberwolves,102,101,
2005,"Tue, Nov 9, 2004",Los Angeles Lakers,New Orleans Hornets,106,98,
2005,"Tue, Nov 9, 2004",Phoenix Suns,Chicago Bulls,94,74,
2005,"Tue, Nov 9, 2004",Memphis Grizzlies,Houston Rockets,87,90,
2005,"Tue, Nov 9, 2004",Seattle SuperSonics,Denver Nuggets,108,88,
2005,"Tue, Nov 9, 2004",Toronto Raptors,Sacramento Kings,92,108,
2005,"Wed, Nov 10, 2004",Portland Trail Blazers,Boston Celtics,88,90,
2005,"Wed, Nov 10, 2004",Los Angeles Clippers,Indiana Pacers,102,68,
2005,"Wed, Nov 10, 2004",New Jersey Nets,Philadelphia 76ers,100,108,
2005,"Wed, Nov 10, 2004",Orlando Magic,Washington Wizards,96,106,
2005,"Wed, Nov 10, 2004",Phoenix Suns,Cleveland Cavaliers,109,114,
2005,"Wed, Nov 10, 2004",Los Angeles Lakers,Memphis Grizzlies,87,110,
2005,"Wed, Nov 10, 2004",Charlotte Bobcats,Milwaukee Bucks,100,102,
2005,"Wed, Nov 10, 2004",Golden State Warriors,San Antonio Spurs,71,91,
2005,"Wed, Nov 10, 2004",Toronto Raptors,Utah Jazz,104,95,
2005,"Wed, Nov 10, 2004",Sacramento Kings,Seattle SuperSonics,78,108,
2005,"Thu, Nov 11, 2004",Dallas Mavericks,Miami Heat,113,93,
2005,"Thu, Nov 11, 2004",Minnesota Timberwolves,Houston Rockets,96,91,
2005,"Thu, Nov 11, 2004",Detroit Pistons,Denver Nuggets,109,117,
2005,"Fri, Nov 12, 2004",Los Angeles Lakers,Orlando Magic,113,122,
2005,"Fri, Nov 12, 2004",Indiana Pacers,Philadelphia 76ers,104,106,
2005,"Fri, Nov 12, 2004",Charlotte Bobcats,Boston Celtics,74,91,
2005,"Fri, Nov 12, 2004",Los Angeles Clippers,New York Knicks,96,110,
2005,"Fri, Nov 12, 2004",Golden State Warriors,Memphis Grizzlies,67,96,
2005,"Fri, Nov 12, 2004",Atlanta Hawks,New Orleans Hornets,96,95,
2005,"Fri, Nov 12, 2004",Miami Heat,San Antonio Spurs,84,93,
2005,"Fri, Nov 12, 2004",Toronto Raptors,Seattle SuperSonics,87,88,
2005,"Sat, Nov 13, 2004",Washington Wizards,Cleveland Cavaliers,74,105,
2005,"Sat, Nov 13, 2004",Dallas Mavericks,New Jersey Nets,94,78,
2005,"Sat, Nov 13, 2004",San Antonio Spurs,Atlanta Hawks,103,88,
2005,"Sat, Nov 13, 2004",Golden State Warriors,Charlotte Bobcats,103,87,
2005,"Sat, Nov 13, 2004",New York Knicks,Indiana Pacers,97,103,
2005,"Sat, Nov 13, 2004",Los Angeles Clippers,Chicago Bulls,97,96,
2005,"Sat, Nov 13, 2004",Los Angeles Lakers,Houston Rockets,84,79,
2005,"Sat, Nov 13, 2004",New Orleans Hornets,Milwaukee Bucks,91,94,
2005,"Sat, Nov 13, 2004",Sacramento Kings,Phoenix Suns,113,111,
2005,"Sat, Nov 13, 2004",Detroit Pistons,Utah Jazz,93,108,
2005,"Sat, Nov 13, 2004",Toronto Raptors,Portland Trail Blazers,102,105,
2005,"Sun, Nov 14, 2004",Dallas Mavericks,Washington Wizards,122,113,
2005,"Sun, Nov 14, 2004",Orlando Magic,Philadelphia 76ers,87,96,
2005,"Sun, Nov 14, 2004",Milwaukee Bucks,Miami Heat,110,112,
2005,"Sun, Nov 14, 2004",Memphis Grizzlies,Seattle SuperSonics,113,118,
2005,"Sun, Nov 14, 2004",Denver Nuggets,Sacramento Kings,89,101,
2005,"Mon, Nov 15, 2004",Golden State Warriors,Cleveland Cavaliers,88,99,
2005,"Mon, Nov 15, 2004",Houston Rockets,New Jersey Nets,80,69,
2005,"Tue, Nov 16, 2004",Utah Jazz,Charlotte Bobcats,107,105,
2005,"Tue, Nov 16, 2004",Seattle SuperSonics,Philadelphia 76ers,103,95,
2005,"Tue, Nov 16, 2004",Houston Rockets,Atlanta Hawks,84,88,
2005,"Tue, Nov 16, 2004",Miami Heat,Minnesota Timberwolves,97,108,
2005,"Tue, Nov 16, 2004",Phoenix Suns,Dallas Mavericks,107,101,
2005,"Tue, Nov 16, 2004",New York Knicks,San Antonio Spurs,81,99,
2005,"Tue, Nov 16, 2004",Chicago Bulls,Sacramento Kings,106,113,
2005,"Tue, Nov 16, 2004",Toronto Raptors,Los Angeles Clippers,89,101,
2005,"Wed, Nov 17, 2004",Atlanta Hawks,Indiana Pacers,86,93,
2005,"Wed, Nov 17, 2004",Utah Jazz,Orlando Magic,92,107,
2005,"Wed, Nov 17, 2004",Boston Celtics,Washington Wizards,105,110,
2005,"Wed, Nov 17, 2004",Minnesota Timberwolves,Detroit Pistons,85,93,
2005,"Wed, Nov 17, 2004",Seattle SuperSonics,New Jersey Nets,79,68,
2005,"Wed, Nov 17, 2004",Phoenix Suns,New Orleans Hornets,95,84,
2005,"Wed, Nov 17, 2004",Toronto Raptors,Denver Nuggets,106,112,
2005,"Wed, Nov 17, 2004",Miami Heat,Milwaukee Bucks,113,106,
2005,"Wed, Nov 17, 2004",Memphis Grizzlies,Portland Trail Blazers,101,82,
2005,"Wed, Nov 17, 2004",Chicago Bulls,Golden State Warriors,85,98,
2005,"Wed, Nov 17, 2004",Los Angeles Clippers,Los Angeles Lakers,89,103,
2005,"Thu, Nov 18, 2004",Cleveland Cavaliers,Charlotte Bobcats,106,89,
2005,"Thu, Nov 18, 2004",San Antonio Spurs,Philadelphia 76ers,88,80,
2005,"Thu, Nov 18, 2004",New York Knicks,Houston Rockets,93,92,
